Ticker,Price,Change,Percent Change,Date
AAPL,212.69,-1.47,(-0.69%),2025-03-18
AAPL,212.69,-1.47,(-0.69%),2025-03-18
AAPL,212.69,-1.47,(-0.69%),2025-03-18
